date,timeMODIS,timeImage,cloudMaskForMODISTime,coverageForMODISTime
2015-05-28 14:05:00,2015-05-28 14:05:00,2015-05-28 14:04:01,1.0,0.953724
2015-05-29 14:50:00,2015-05-29 14:50:00,2015-05-29 14:50:01,0.666666666667,0.394636
2015-05-31 14:35:00,2015-05-31 14:35:00,2015-05-31 14:34:00,1.0,0.86312
2015-06-02 14:25:00,2015-06-02 14:25:00,2015-06-02 14:24:00,1.0,0.55702
2015-06-03 15:05:00,2015-06-03 15:05:00,2015-06-03 15:04:01,1.0,0.495544
2015-06-04 14:10:00,2015-06-04 14:10:00,2015-06-04 14:10:00,1.0,0.816172
2015-06-05 14:55:00,2015-06-05 14:55:00,2015-06-05 14:54:00,1.0,0.903872
2015-06-12 15:00:00,2015-06-12 15:00:00,2015-06-12 15:00:00,1.0,0.767684
2015-06-13 14:05:00,2015-06-13 14:05:00,2015-06-13 14:04:00,1.0,0.914512
2015-06-14 14:50:00,2015-06-14 14:50:00,2015-06-14 14:50:00,1.0,0.6199
2015-06-16 14:35:00,2015-06-16 14:35:00,2015-06-16 14:34:00,1.0,0.618576
2015-06-18 14:25:00,2015-06-18 14:25:00,2015-06-18 14:24:01,1.0,0.756636
2015-06-19 15:05:00,2015-06-19 15:05:00,2015-06-19 15:04:01,1.0,0.754664
2015-06-20 14:10:00,2015-06-20 14:10:00,2015-06-20 14:10:01,1.0,0.548076
2015-06-21 14:55:00,2015-06-21 14:55:00,2015-06-21 14:54:01,1.0,0.575944
2015-06-23 14:40:00,2015-06-23 14:40:00,2015-06-23 14:40:00,0.888888888889,0.447256
2015-06-25 14:30:00,2015-06-25 14:30:00,2015-06-25 14:30:01,1.0,0.82182
2015-06-26 15:10:00,2015-06-26 15:10:00,2015-06-26 15:10:00,1.0,0.808004
2015-06-27 14:15:00,2015-06-27 14:15:00,2015-06-27 14:14:00,0.666666666667,0.314624
2015-06-28 15:00:00,2015-06-28 15:00:00,2015-06-28 15:00:01,1.0,0.86882
2015-06-29 14:05:00,2015-06-29 14:05:00,2015-06-29 14:04:00,1.0,0.588316
2015-06-30 14:50:00,2015-06-30 14:50:00,2015-06-30 14:49:59,0.111111111111,0.351624
2015-07-02 14:35:00,2015-07-02 14:35:00,2015-07-02 14:34:00,1.0,0.539468
2015-07-04 14:25:00,2015-07-04 14:25:00,2015-07-04 14:24:01,1.0,0.828476
2015-07-05 15:05:00,2015-07-05 15:05:00,2015-07-05 15:04:01,1.0,0.587136
2015-07-06 14:10:00,2015-07-06 14:10:00,2015-07-06 14:10:01,1.0,0.6614
2015-08-07 14:10:00,2015-08-07 14:10:00,2015-08-07 14:10:01,1.0,0.864628
2015-08-08 14:55:00,2015-08-08 14:55:00,2015-08-08 14:54:01,1.0,0.866884
2015-08-10 14:40:00,2015-08-10 14:40:00,2015-08-10 14:40:00,1.0,0.61898
2015-08-12 14:30:00,2015-08-12 14:30:00,2015-08-12 14:30:00,1.0,0.470504
2015-08-13 15:10:00,2015-08-13 15:10:00,2015-08-13 15:10:00,1.0,0.611852
2015-08-14 14:15:00,2015-08-14 14:15:00,2015-08-14 14:14:01,1.0,0.656184
2015-08-15 15:00:00,2015-08-15 15:00:00,2015-08-15 15:00:01,1.0,0.555384
2015-08-16 14:05:00,2015-08-16 14:05:00,2015-08-16 14:04:01,1.0,0.464316
2015-08-17 14:45:00,2015-08-17 14:45:00,2015-08-17 14:44:00,1.0,0.50744
2015-08-19 14:35:00,2015-08-19 14:35:00,2015-08-19 14:34:00,0.666666666667,0.362996
2015-08-21 14:25:00,2015-08-21 14:25:00,2015-08-21 14:24:01,1.0,0.440288
2015-08-22 15:05:00,2015-08-22 15:05:00,2015-08-22 15:04:01,1.0,0.750432
2015-08-23 14:10:00,2015-08-23 14:10:00,2015-08-23 14:10:01,1.0,0.693388
2015-08-24 14:55:00,2015-08-24 14:55:00,2015-08-24 14:54:01,1.0,0.620372
2015-08-26 14:40:00,2015-08-26 14:40:00,2015-08-26 14:40:01,1.0,0.172684
2015-08-28 14:30:00,2015-08-28 14:30:00,2015-08-28 14:26:00,1.0,0.822848
2015-09-02 14:45:00,2015-09-02 14:45:00,2015-09-02 14:44:00,0.888888888889,0.599852
2015-09-04 14:35:00,2015-09-04 14:35:00,2015-09-04 14:34:01,1.0,0.89328
2015-09-06 14:25:00,2015-09-06 14:25:00,2015-09-06 14:24:01,0.888888888889,0.701508
2015-09-07 15:05:00,2015-09-07 15:05:00,2015-09-07 15:04:02,1.0,0.528752
2015-09-08 14:10:00,2015-09-08 14:10:00,2015-09-08 14:10:05,1.0,0.71318
2015-09-09 14:55:00,2015-09-09 14:55:00,2015-09-09 14:54:01,1.0,0.643708
2015-09-11 14:40:00,2015-09-11 14:40:00,2015-09-11 14:40:05,1.0,0.538228
2015-09-13 14:30:00,2015-09-13 14:30:00,2015-09-13 14:30:05,1.0,0.79408
2015-09-14 15:10:00,2015-09-14 15:10:00,2015-09-14 15:10:05,1.0,0.498764
2015-09-15 14:15:00,2015-09-15 14:15:00,2015-09-15 14:14:01,1.0,0.119736
2015-09-16 15:00:00,2015-09-16 15:00:00,2015-09-16 15:00:04,1.0,0.580408
2015-09-17 14:05:00,2015-09-17 14:05:00,2015-09-17 14:04:02,1.0,0.625908
2015-09-18 14:45:00,2015-09-18 14:45:00,2015-09-18 14:44:02,1.0,0.522488
2015-09-20 14:35:00,2015-09-20 14:35:00,2015-09-20 14:34:00,1.0,0.787476
2015-09-22 14:25:00,2015-09-22 14:25:00,2015-09-22 14:24:00,1.0,0.559852
2015-09-23 15:05:00,2015-09-23 15:05:00,2015-09-23 15:04:01,1.0,0.72358
2015-09-24 14:10:00,2015-09-24 14:10:00,2015-09-24 14:10:04,1.0,0.259476
2015-09-25 14:55:00,2015-09-25 14:55:00,2015-09-25 14:54:01,1.0,0.683132
2015-09-27 14:40:00,2015-09-27 14:40:00,2015-09-27 14:40:05,1.0,0.615372
2015-09-29 14:30:00,2015-09-29 14:30:00,2015-09-29 14:30:00,1.0,0.566484
2015-10-01 14:15:00,2015-10-01 14:15:00,2015-10-01 14:16:00,1.0,0.626344
2015-10-02 15:00:00,2015-10-02 15:00:00,2015-10-02 15:00:01,1.0,0.520372
2015-10-06 14:35:00,2015-10-06 14:35:00,2015-10-06 14:34:01,1.0,0.613292
2015-10-08 14:25:00,2015-10-08 14:25:00,2015-10-08 14:24:00,1.0,0.811404
2015-10-09 15:05:00,2015-10-09 15:05:00,2015-10-09 15:04:01,0.777777777778,0.50478
2015-11-01 15:10:00,2015-11-01 15:10:00,2015-11-01 15:10:01,1.0,0.473816
2015-11-02 14:15:00,2015-11-02 14:15:00,2015-11-02 14:15:00,1.0,0.770388
2015-11-03 15:00:00,2015-11-03 15:00:00,2015-11-03 15:00:01,1.0,0.72186
2015-11-04 14:05:00,2015-11-04 14:05:00,2015-11-04 14:05:00,1.0,0.664776
2015-11-05 14:45:00,2015-11-05 14:45:00,2015-11-05 14:44:01,1.0,0.650788
2015-11-07 14:35:00,2015-11-07 14:35:00,2015-11-07 14:34:00,1.0,0.503892
2015-11-09 14:25:00,2015-11-09 14:25:00,2015-11-09 14:24:01,1.0,0.854064
2015-11-10 15:05:00,2015-11-10 15:05:00,2015-11-10 15:04:01,1.0,0.803112
2015-11-11 14:10:00,2015-11-11 14:10:00,2015-11-11 14:10:01,1.0,0.613232
